JobId,Quantity,StockCost
8636,2,25.85
8637,4,32.49
8638,71,18.08
8639,10000,4035.75
8640,12,29.82
8641,4000,464.07
8642,5000,620.87
8643,523,209.83
8644,5790,501.8
8645,73570,3796.34
8646,30000,3549.68
8647,350,182.52
8648,50,212.33
8649,406,215.63
8650,150,365.91
8651,28250,783.84
8652,4200,1282.2
8653,11092,856.37
8654,50,196.65
8655,22300,2738.04
8656,304,189.01
8657,749,103.62
8658,827,304.1
8659,1060,84.45
8660,38,86.44
8661,207,253.81
8662,11550,1951.5
8663,182,197.05
8664,295,231.09
8665,2321,240.81
8666,15000,556.08
8667,1511,512.54
8668,1944,542.05
8669,24000,1213.34
8670,25000,373.86
8671,1800,96.47
8672,1306,223.34
8673,15386,571.42
8674,2014,323.72
8675,8400,589.99
8676,380,531.57
8677,139649,2761.02
8678,8572,409.71
8679,15000,145.1
8680,2497,191.44
8681,3,185.61
8682,2600,127.55
8683,25,93.71
8684,17000,309.99
8685,15,161.71
